keyword,log-likelihood,score
przyjeżdżać,8.522497820769269,0.0001495499904831824
mi,8.450057297669602,0.007028849552709574
kto,8.418093227092118,0.0006797726840144655
pobić,8.39979106574337,9.516817576202518e-05
moralny,8.39979106574337,9.516817576202518e-05
list,8.388639481779027,0.00025831361992549693
popołudnie,8.32865209198004,8.157272208173587e-05
metr,8.32865209198004,8.157272208173587e-05
wiecznie,8.32865209198004,8.157272208173587e-05
wlać,8.32865209198004,8.157272208173587e-05
stare,8.32865209198004,8.157272208173587e-05
świecić,8.32865209198004,8.157272208173587e-05
wrócić,8.317064617851408,0.0007341544987356228
nauka,8.30054200909224,0.0003534817956875221
krzyż,8.195173043208609,0.00046224542512983657
niedziela,8.111403670843355,0.00028550452728607554
różny,8.081982178958825,0.0009244908502596731
przebywać,8.061429044209053,0.00023112271256491829
star,8.060545908436161,0.0001359545368028931
piła,8.060545908436161,0.0001359545368028931
przód,7.966165018609924,0.00016314544416347175
zakonny,7.9315301613950915,0.00031269543464665416
zostać,7.909142699232582,0.0016042635342741387
narodzenie,7.7771096808073175,0.00020393180520433967
pokój,7.632106411312282,0.0007205590450553334
uczynek,7.6139429484542465,0.0001223590831226038
nałóg,7.514856770771779,0.00028550452728607554
opowiadać,7.514856770771779,0.00028550452728607554
wolność,7.383709267822608,0.00031269543464665416
18,7.362818153661063,0.00023112271256491829
znów,7.29548066892924,0.0004214590640889687
osobisty,7.276081692605295,0.0003670772493678114
zawodowy,7.258635702086826,0.00019033635152405036
używka,7.189990754990094,0.00010876362944231449
atmosfera,7.189990754990094,0.00010876362944231449
Niemcy,7.189990754990094,0.00010876362944231449
utrzymywać,7.189990754990094,0.00010876362944231449
piwo,7.189990754990094,0.00010876362944231449
pewne,7.175914542740514,0.0011148272017837235
móc,7.096337503104266,0.0036979634010386926
wyznanie,7.0463836252883425,0.00016314544416347175
obojętny,7.0463836252883425,0.00016314544416347175
zapragnąć,7.028169431034426,0.00020393180520433967
wychowywać,7.028169431034426,0.00020393180520433967
spowodować,7.020164375297078,0.0002719090736057862
zawołać,6.969829352158733,0.0001359545368028931
przychodzić,6.819378079549949,0.0005302226935312832
